student_id_new,acct_id_new,person_detail_id_new,school_id_new,lea_id_new,race_id,grade,lep_enrolled,iep_enrolled,cum_gpa,absence_count_unexcused,absence_count_excused,core_gpa,num_f,academic_year_id,gender,city,state,zip,ethnicity
7939,15997,27402,7,9,5,6.0,N,N,3.66667,4,2,3.66667,0,11,M,Forest City,NC,28043,0
7940,802,25025,17,19,5,7.0,N,N,3.47826,4,35,3.25833,1,12,F,Marshall,NC,28753,0
7941,5099,21298,8,1,5,7.0,N,N,3.0875,2,13,3.0875,0,12,F,Traphill,NC,28685,0
7942,1067,22301,35,17,5,12.0,N,N,0.0,0,0,,0,12,M,Union Mills,NC,28167,0
7943,12982,23733,10,17,2,6.0,N,N,0.0,1,0,,0,12,M,Rutherfordton,NC,28139,0
7944,13893,8352,17,19,5,6.0,N,N,3.9875,2,1,3.975,0,12,F,Weaverville,NC,28787,0
7945,6993,23489,57,21,5,8.0,N,N,2.83333,2,0,2.33333,1,11,M,Morganton,NC,28655,0
7946,428,29448,55,10,5,7.0,N,N,3.72,5,3,3.41667,0,12,F,Morganton,NC,28655,0
7947,16187,17665,51,10,5,6.0,N,N,3.4,0,0,3.0,0,11,F,Connelly Springs,NC,28612,0
7948,4537,29103,22,9,1,7.0,N,N,3.83333,0,0,3.83333,0,11,F,Forest City,NC,28043,0
7949,2949,22847,46,14,5,8.0,N,N,2.68214,6,6,1.75833,3,11,M,North Wilkesboro,NC,28659,2
7950,8504,22212,51,10,5,6.0,N,N,2.18182,0,0,1.69231,3,11,M,Connelly Springs,NC,28612,0
7951,12344,4231,17,19,5,7.0,N,N,2.37273,0,0,2.23333,2,12,M,Marshall,NC,28753,0
7952,1075,23336,4,14,7,9.0,N,N,4.0,0,25,4.0,0,12,F,North Wilkesboro,NC,28659,2
7953,7024,26491,17,19,5,8.0,N,N,3.37083,16,2,3.20833,0,12,F,Hot Springs,NC,28743,0
7954,4583,2912,43,13,7,7.0,N,Y,1.83333,0,12,1.83333,0,11,F,Robbinsville,NC,28771,0
7955,14024,3173,49,10,9,6.0,N,N,2.91667,0,0,2.69231,0,12,M,Valdese,NC,28690,1
7956,11593,21103,43,13,5,8.0,N,N,1.77778,7,24,1.475,7,12,F,Robbinsville,NC,28771,0
7957,2993,7546,74,3,7,7.0,N,N,,0,0,,0,12,M,,,,0
7958,11128,11751,67,2,5,8.0,N,N,2.54375,1,10,2.30909,1,12,M,Lansing,NC,28643,0
7959,12168,14443,58,7,5,7.0,N,N,2.6,3,2,2.28571,1,11,M,Hayesville,NC,28904,0
7960,6307,5085,17,19,5,8.0,N,N,3.25,6,8,2.83333,0,12,M,Marshall,NC,28753,0
7961,5803,25609,25,4,5,6.0,N,N,0.8375,6,2,0.8375,5,12,M,Burnsville,NC,28714,0
7962,15960,21758,16,10,9,7.0,N,Y,2.89655,0,0,2.3125,0,11,F,Morganton,NC,28655,1
7963,2319,17415,75,4,5,6.0,N,N,4.0,6,1,4.0,0,12,M,Burnsville,NC,28714,0
7964,1700,23875,15,1,5,7.0,N,N,3.575,0,2,3.2,0,11,F,North Wilkesboro,NC,28659,0
7965,13430,8283,28,14,5,8.0,N,N,3.58214,3,7,3.44167,0,11,M,Millers Creek,NC,28651,2
7966,6090,21619,9,5,7,7.0,N,N,3.17333,0,11,2.78333,0,11,F,Galax,VA,24333,0
7967,2038,9379,18,1,9,6.0,N,N,3.74643,0,0,3.78333,0,11,M,North Wilkesboro,NC,28659,1
7968,2509,3353,60,21,5,9.0,N,N,3.125,49,29,3.14,0,12,F,Hildebran,NC,28637,0
7969,971,23858,22,9,9,6.0,N,N,1.66667,3,4,1.66667,7,11,F,Forest City,NC,28043,1
7970,4412,24422,11,1,5,7.0,N,N,3.71667,0,1,3.71667,0,12,F,Wilkesboro,NC,28697,0
